author,school
王涤飞,西北工业大学计算机学院
严建峰,西北工业大学计算机学院
李枚毅,中南大学信息科学与工程学院
蔡自兴,中南大学信息科学与工程学院 长沙410083
王仲民,河北工业大学机械工程学院
岳宏,天津职业技术师范学院机械工程系 天津300130天津职业技术师范学院机械工程系
刘继岩,天津300222
朱皖,中南大学信息科学与工程学院 长沙410083国防科大信息与通信工程博士后流动站湘计算机工作站
陈玥,长沙410007
张闻捷,长沙410083
任燚,中国科学技术大学自动化系
陈宗海,中国科学技术大学自动化系 合肥230026
张祺,广东工业大学自动化学院
杨宜民,华南师范大学计算机学院 广州510090
陈红英,广州510630
彭金柱,湖南大学电气与信息工程学院
王耀南,湖南大学电气与信息工程学院
孙炜,湖南大学电气与信息工程学院
张美玉,华南理工大学数学科学院
黄翰,华南理工大学数学科学院
郝志峰,华南理工大学数学科学院
杨晓伟,华南理工大学数学科学院
王辉,中国科学院自动化研究所
邹伟,中国科学院自动化研究所
郑睿,中国科学院自动化研究所
屈彦呈,哈尔滨工业大学空间控制与惯性技术研究中心
黄亨俊,哈尔滨工业大学空间控制与惯性技术研究中心
王常虹,哈尔滨工业大学空间控制与惯性技术研究中心
周浦城,哈尔滨工业大学计算机科学与工程系
洪炳镕,哈尔滨工业大学计算机科学与工程系
郭耸,哈尔滨工业大学计算机科学与工程系
廖明,解放军理工大学工程兵学院
刘安心,解放军理工大学工程兵学院
张金林,解放军理工大学工程兵学院
芮挺,解放军理工大学工程兵学院
方虎生,解放军理工大学工程兵学院
王海峰,清华大学电机系电工新技术研究所
陆文娟,清华大学电机系电工新技术研究所
冯川,清华大学电机系电工新技术研究所
冯延蓬,中国科学技术大学计算机系
陈小平,中国科学技术大学计算机系 合肥230027
邢笑笑,清华大学自动化系
熊举峰,湖南师范大学物理与信息科学学院
谭冠政,中南大学信息科学与工程学院
盘辉,湖南师范大学物理与信息科学学院 长沙410081中南大学信息科学与工程学院长沙410083
孔凡天,华中科技大学国家数控系统工程技术研究中心
陈幼平,华中科技大学国家数控系统工程技术研究中心
谢经明,华中科技大学国家数控系统工程技术研究中心
张冈,华中科技大学国家数控系统工程技术研究中心
周祖德,华中科技大学国家数控系统工程技术研究中心
段清娟,西北工业大学
王润孝,西北工业大学
冯华山,西北工业大学
王立刚,西北工业大学
潘炼东,华中科技大学控制科学与工程系
