author,school
肖赞,湖南大学电气与信息工程学院
董潇健,湖南大学电气与信息工程学院
李艳东,齐齐哈尔大学计算机与控制工程学院
朱玲,齐齐哈尔大学计算机与控制工程学院
孙明,齐齐哈尔大学计算机与控制工程学院
陈磊,第二炮兵工程大学
张国良,第二炮兵工程大学
张维平,第二炮兵工程大学
敬斌,第二炮兵工程大学
王全,国防科学技术大学自动化研究所
王维,国防科学技术大学自动化研究所
李焱,国防科学技术大学自动化研究所
刘大学,国防科学技术大学自动化研究所
胡启祥,浙江交通职业技术学院机电学院
瞿心昱,浙江交通职业技术学院机电学院
何志,湖南大学电气与信息工程学院控制科学与工程系
谭建豪,湖南大学电气与信息工程学院控制科学与工程系
郑小丽,湖南大学电气与信息工程学院
杨唐胜,湖南大学电气与信息工程学院
靳海洋,湖南大学电气与信息工程学院
王立盛,湖南大学电气与信息工程学院
刘康克,上海海事大学航运技术与控制工程交通行业重点实验室
熊亚洲,上海海事大学航运技术与控制工程交通行业重点实验室
李刚,上海海事大学航运技术与控制工程交通行业重点实验室
王建华,上海海事大学航运技术与控制工程交通行业重点实验室
吕战永,辽宁石油化工大学信息与控制工程学院
曹江涛,辽宁石油化工大学信息与控制工程学院
万晓凤,南昌大学信息工程学院
胡伟,南昌大学信息工程学院
方武义,南昌大学信息工程学院
郑博嘉,南昌大学信息工程学院
李春光,江南大学物联网工程学院
刘国栋,常州工学院计算机信息工程学院
郭新年,江南大学轻工过程先进控制教育部重点实验室
白瑞林,江南大学轻工过程先进控制教育部重点实验室
王秀平,江南大学轻工过程先进控制教育部重点实验室
刘子腾,江南大学轻工过程先进控制教育部重点实验室
李文波,湖南大学电气与信息工程学院
金娟,湖南大学电气与信息工程学院
贠今天,天津市现代机电装备技术重点实验室
许立磊,天津市现代机电装备技术重点实验室
桑宏强,天津市现代机电装备技术重点实验室
罗俊芝,装甲兵工程学院基础部
杨万利,装甲兵工程学院基础部
李红燕,装甲兵工程学院基础部
刘艳霞,装甲兵工程学院基础部
闫文才,江南大学轻工过程先进控制教育部重点实验室
李新,江南大学轻工过程先进控制教育部重点实验室
李龙澍,安徽大学计算智能与信号处理教育部重点实验室
方园,安徽大学计算智能与信号处理教育部重点实验室
李新,信息与控制实验教学中心
白瑞林,无锡信捷电气有限公司
陆娜,山东大学控制科学与工程学院
路飞,山东大学控制科学与工程学院
张伟,山东大学控制科学与工程学院
王汐,湖南科技大学信息与电气工程学院
周少武,湖南科技大学信息与电气工程学院
曾照福,湖南科技大学信息与电气工程学院
陈微,湖南科技大学信息与电气工程学院
周游,湖南科技大学信息与电气工程学院
王洪泉,天津工业大学电气工程及自动化学院
师五喜,天津工业大学电气工程及自动化学院
常绍平,天津工业大学电气工程及自动化学院
修春波,天津工业大学电气工程及自动化学院
孟宪全,天津市现代机电装备技术重点实验室
杨向红,天津市现代机电装备技术重点实验室
曾明如,南昌大学信息工程学院
徐小勇,南昌大学信息工程学院
刘亮,南昌大学信息工程学院
罗浩,南昌大学信息工程学院
徐志敏,南昌大学信息工程学院
许凡,江南大学轻工过程先进控制教育部重点实验室
过志强,江南大学轻工过程先进控制教育部重点实验室
苏学满,安徽工程大学机械与汽车工程学院
孙丽丽,安徽工程大学机器人产业技术研究院
陈世明,华东交通大学电气与电子工程学院
丁贤达,华东交通大学电气与电子工程学院
化俞新,华东交通大学电气与电子工程学院
张杰,南京农业大学工学院
姬长英,南京农业大学工学院
顾宝兴,南京农业大学工学院
沈子尧,南京农业大学工学院
董芒,南京农业大学工学院
赵登步,江南大学轻工过程先进控制教育部重点实验室
白瑞林,信息与控制实验教学中心
李新,无锡信捷电气有限公司
雷霆,第二炮兵工程大学
汤文俊,第二炮兵工程大学
孙一杰,第二炮兵工程大学
郑来芳,湖南大学电气与信息工程学院
欧阳明华,湖南大学电气与信息工程学院
李飞,湖南大学电气与信息工程学院
王铭,高可靠嵌入式系统技术北京市工程研究中心电子系统可靠性技术北京市重点实验室
王瑞,高可靠嵌入式系统技术北京市工程研究中心电子系统可靠性技术北京市重点实验室
李晓娟,高可靠嵌入式系统技术北京市工程研究中心电子系统可靠性技术北京市重点实验室
关永,高可靠嵌入式系统技术北京市工程研究中心电子系统可靠性技术北京市重点实验室
张杰,高可靠嵌入式系统技术北京市工程研究中心电子系统可靠性技术北京市重点实验室
魏洪兴,高可靠嵌入式系统技术北京市工程研究中心电子系统可靠性技术北京市重点实验室
吕金秋,上海工程技术大学电子电气工程学院
游晓明,上海工程技术大学电子电气工程学院
刘升,上海工程技术大学电子电气工程学院
刘锴,上海工程技术大学电子电气工程学院
李连中,华南理工大学机械与汽车工程学院
翟敬梅,华南理工大学机械与汽车工程学院
何海洋,华南理工大学机械与汽车工程学院
何元烈,广东工业大学计算机学院
徐扣,广东工业大学计算机学院
韩奉林,中南大学高性能复杂制造国家重点实验室
江晓磊,中南大学高性能复杂制造国家重点实验室
严宏志,中南大学高性能复杂制造国家重点实验室
高赢,湘潭大学信息工程学院机器人视觉感知与控制技术国家工程实验室
张莹,湘潭大学信息工程学院机器人视觉感知与控制技术国家工程实验室
闫璠,湘潭大学信息工程学院机器人视觉感知与控制技术国家工程实验室
涂勇涛,湘潭大学信息工程学院机器人视觉感知与控制技术国家工程实验室
张东波,湘潭大学信息工程学院机器人视觉感知与控制技术国家工程实验室
李庆香,重庆文理学院软件工程学院
赵晓飞,重庆文理学院经济管理学院
王军华,上海大学通信与信息工程学院
李丁,上海大学通信与信息工程学院
刘盛鹏,上海大学通信与信息工程学院
应文杰,南昌大学信息工程学院
徐开,南昌大学信息工程学院
徐少平,南昌大学信息工程学院
桑宏强,天津工业大学机械工程学院
陈发,天津工业大学机械工程学院
刘芬,天津工业大学机械工程学院
杨铖浩,天津工业大学机械工程学院
许丽萍,天津工业大学机械工程学院
李庆,华侨大学工业智能化技术与系统福建省高校工程研究中心
郑力新,华侨大学工业智能化技术与系统福建省高校工程研究中心
潘书万,华侨大学工业智能化技术与系统福建省高校工程研究中心
张裕坤,华侨大学工业智能化技术与系统福建省高校工程研究中心
谢一首,华侨大学工业智能化技术与系统福建省高校工程研究中心
熊志恒,武汉科技大学冶金自动化与检测技术教育部工程研究中心
闵华松,武汉科技大学冶金自动化与检测技术教育部工程研究中心
谢宏,湖南大学电气与信息工程学院自动化系
向启均,湖南大学电气与信息工程学院自动化系
陈海滨,湖南大学电气与信息工程学院自动化系
张小刚,湖南大学电气与信息工程学院自动化系
杨鹏,湖南大学电气与信息工程学院自动化系
张爱林,湖南大学电气与信息工程学院自动化系
李云峰,湖南大学电气与信息工程学院自动化系
田勇,廊坊市人民防空办公室
王欢,北华航天工业学院科学技术处
张云峰,北华航天工业学院计算机与遥感信息技术学院
康代轲,同济大学机械与能源工程学院
陈明,同济大学中德工程学院
郭文县,哈尔滨工程大学自动化学院
高晨曦,哈尔滨工程大学自动化学院
张智,哈尔滨工程大学自动化学院
张磊,哈尔滨工程大学自动化学院
李珣,西安工程大学电子信息学院
刘丽,西安工程大学电子信息学院
洪良,西安工程大学电子信息学院
王晓华,西安工程大学电子信息学院
李波,云南大学信息学院
薛端,云南大学信息学院
黄鑫,云南大学信息学院
贠今天,天津工业大学机械工程学院
郑争光,四川理工学院自动化与信息工程学院
任小洪,四川理工学院自动化与信息工程学院
程亚军,四川理工学院自动化与信息工程学院
常政威,四川理工学院自动化与信息工程学院
李黎,航天科技集团九院16所
尚俊云,航天科技集团九院16所
冯艳丽,航天科技集团九院16所
淮亚文,航天科技集团九院16所
刘鹏飞,西安交通大学电子与信息工程学院
韩九强,西北工业学校
段延礼,西北工业学校 陕西西安710049
姚俊,陕西兴平713100
王月明,燕山大学信息科学与工程学院 河北秦皇岛066004
赵立强,内蒙古科技大学理学院
陈修龙,山东科技大学机电学院
赵永生,燕山大学机械工程学院
邓昱,山东科技大学图书馆 山东青岛266510
王远,西北工业大学管理学院 陕西西安710072
孙汉旭,北京邮电大学计算机科学与技术学院
贾庆轩,北京邮电大学计算机科学与技术学院
郑一力,北京邮电大学计算机科学与技术学院
程时端,北京邮电大学计算机科学与技术学院
张均富,四川大学制造科学与工程学院
王杰,四川大学制造科学与工程学院
徐礼钜,四川大学制造科学与工程学院
王文玺,西南交通大学机械工程学院
肖世德,西南交通大学机械工程学院
孟祥印,西南交通大学机械工程学院
陈应松,西南交通大学机械工程学院
张卫华,西南交通大学机械工程学院
李鹏,西北工业大学管理学院
尹湘云,四川大学制造科学与工程学院
殷鹰,四川大学制造科学与工程学院
胡晓兵,四川大学制造科学与工程学院
殷国富,四川大学制造科学与工程学院
段艳宾,燕山大学机械工程学院
梁顺攀,燕山大学机械工程学院
李聪,燕山大学机械工程学院
梁捷,福州大学机械工程及自动化学院
陈力,福建省制造业数字化设计工程研究中心
梁频,中国空气动力研究与发展中心低速空气动力研究所
单以才,南京信息职业技术学院机电学院
何宁,南京信息职业技术学院机电学院
李亮,南京信息职业技术学院机电学院
杨煜俊,广东工业大学广东省计算机集成制造重点实验室
龙传泽,广东工业大学广东省计算机集成制造重点实验室
陶宇,广东工业大学广东省计算机集成制造重点实验室
韩金,北京化工大学机电工程学院
陈国华,北京化工大学机电工程学院
张爱军,北京化工大学机电工程学院
周卫华,台州职业技术学院自动化研究所
王班,台州职业技术学院自动化研究所
郭吉丰,台州职业技术学院自动化研究所
郑坤明,江南大学机械工程学院
张秋菊,江苏省食品先进制造装备技术重点实验室
徐立云,同济大学现代制造技术研究所
蔡炳杰,同济大学现代制造技术研究所
杨连生,同济大学现代制造技术研究所
李爱平,同济大学现代制造技术研究所
许勇,上海工程技术大学机械工程学院
程浩,上海工程技术大学机械工程学院
王鑫,上海工程技术大学机械工程学院
陈友东,北京航空航天大学机械工程及自动化学院
郭佳鑫,北京航空航天大学机械工程及自动化学院
刘嘉蕾,北京航空航天大学机械工程及自动化学院
陶永,北京航空航天大学机械工程及自动化学院
王万良,浙江工业大学计算机科学与技术学院
朱炎亮,浙江工业大学计算机科学与技术学院
王铮,浙江工业大学计算机科学与技术学院
屠海龙,浙江工业大学计算机科学与技术学院
张丹露,中国科学院大学计算机控制学院
孙小勇,中国科学院大学计算机控制学院
傅顺,中国科学院大学计算机控制学院
郑彬,中国科学院大学计算机控制学院
郑华栋,大连理工大学机械工程学院
丛明,大连理工大学机械工程学院
刘毅,大连理工大学机械工程学院
董航,大连理工大学机械工程学院
刘冬,大连理工大学机械工程学院
王鸿鹏,哈尔滨工业大学计算机系
洪炳熔,哈尔滨工业大学计算机系
李华忠,哈尔滨工业大学计算机系
唐好选,哈尔滨工业大学计算机系
褚海涛,哈尔滨工业大学计算机科学与工程系
洪炳熔,哈尔滨工业大学计算机科学与工程系
高全胜,哈尔滨工业大学计算机科学与工程系
王月海,哈尔滨工业大学计算机科学与工程系
汤双清,武汉水利电力大学 机械学院
Michel DUPAS,Valenciennes University
刘永红,石油大学机电系
杨毅,石油大学机电系
李庆云,石油大学机电系
刘传才,福州大学计算机科学与技术系
杨静宇,南京理工大学计算机科学与工程系 福建福州350002
孟伟,哈尔滨工业大学计算机系智能机器人研究室
汤双清,华中科技大学机械学院
付建科,三峡大学机械学院
施仲光,华中科技大学机械学院 湖北武汉430074
廖道训,湖北宜昌443002
屈彦呈,哈尔滨工业大学控制科学与工程系
王常虹,哈尔滨工业大学控制科学与工程系
庄显义,哈尔滨工业大学控制科学与工程系
金飞虎,哈尔滨工业大学计算机学院
洪炳熔,哈尔滨工业大学计算机学院
柳长安,哈尔滨工业大学计算机学院
高庆吉,哈尔滨工业大学计算机学院
马力波,重庆大学自动化学院
黄席樾,重庆大学自动化学院 重庆400044贵州广播电视大学理工教学部
陈东义,贵州贵阳550004
何传江,重庆400044
吴宏途,福建师范大学
严闪,福建师范大学 福建福州350007
谷学静,北京科技大学信息工程学院
石志国,北京科技大学信息工程学院
王志良,北京科技大学信息工程学院
梁冰,哈尔滨工业大学计算机信息科学系
洪炳熔,哈尔滨工业大学计算机信息科学系 黑龙江哈尔滨150001
林晋,华北电力大学计算机科学与技术系
柳长安,华北电力大学计算机科学与技术系
吴克河,华北电力大学计算机科学与技术系
徐燕,华北电力大学计算机科学与技术系
刘克勤,华北电力大学计算机科学与技术系
贺继林,上海交通大学机器人研究所
王春香,上海交通大学机器人研究所
杨汝清,上海交通大学机器人研究所
田华阁,上海交通大学机器人研究所
凌凤琪,华北电力大学计算机科学与技术系
鲍国超,华北电力大学计算机科学与技术系
李淑琴,南京理工大学计算机系
唐振民,南京理工大学计算机系
赵春霞,南京理工大学计算机系
杨静宇,南京理工大学计算机系
宋道金,山东理工大学计算机学院
李宏涛,山东省科学院
李彩虹,山东理工大学计算机学院 山东淄博255091
肖爱梅,山东济南250014
顿文力,中国海洋大学计算机科学系
孟庆春,中国海洋大学计算机科学系 山东青岛266071
庄晓东,山东青岛266071清华大学智能技术与系统国家重点实验室北京100084
马雪英,浙江财经学院信息管理系
何臻峰,浙江大学计算机科学系
林兰芬,浙江大学计算机科学系 浙江 杭州 310012
曹自洋,郑州工程学院机电工程系
郝矿荣,东华大学信息学院 河南 郑州 450052
刘永,南京理工大学材料系
王克鸿,南京理工大学计算机系 江苏南京210094南京理工大学计算机系江苏南京210094
杨静宇,江苏南京210094
赵丽媛,华北电力大学计算机科学与技术系
柳长安,华北电力大学计算机科学与技术系 北京102206
张友,上海交通大学机器人研究所
栾楠,上海交通大学机器人研究所
刘宝生,上海交通大学机器人研究所
李彩虹,山东大学控制科学与工程学院
李贻斌,山东大学控制科学与工程学院 山东济南250061 山东理工大学计算机科学与技术学院
曹成才,四川大学制造科学与工程学院
姚进,四川大学制造科学与工程学院
王强,四川大学制造科学与工程学院
刘玲,湖南大学智能自动化重点实验室
王耀南,湖南大学智能自动化重点实验室
况菲,湖南大学智能自动化重点实验室
张辉,湖南大学智能自动化重点实验室
赵先章,中国科学院自动化研究所
常红星,中国科学院自动化研究所
曾隽芳,中国科学院自动化研究所
高一波,中国科学院自动化研究所
尹怡欣,北京科技大学信息工程学院 北京100083
涂序彦,山东工商学院信息与电子工程学院
孙铁强,山东烟台264005
王东署,郑州大学 电气工程学院
迟健男,北京科技大学 信息工程学院 郑州450001
张平,华南理工大学 计算机科学与工程学院
杨时杰,哈尔滨工业大学 深圳研究院 广州 510640
梁斌,广东 深圳 518057
郝宗波,哈尔滨工业大学计算机科学与技术学院
黄庆成,哈尔滨工业大学计算机科学与技术学院
朱法强,北京科技大学信息工程学院
于金霞,河南理工大学计算机科学与技术学院
蔡自兴,中南大学信息科学与工程学院
段琢华,中南大学信息科学与工程学院 河南焦作454003
张幼明,北京科技大学信息工程学院
刘关俊,中南大学信息科学与工程学院 长沙410083
张文丙,郑州大学电气工程学院 郑州450001
宋洪军,山东大学控制科学与工程学院机器人中心
马昕,山东大学控制科学与工程学院机器人中心
李贻斌,山东大学控制科学与工程学院机器人中心
贾磊,山东大学控制科学与工程学院机器人中心
张永强,安徽工业大学计算机学院 安徽马鞍山243002
周风余,山东大学控制科学与工程学院机器人中心
薛晗,国防科学技术大学机电工程与自动化学院
陶溢,国防科学技术大学机电工程与自动化学院 长沙410073
马宏绪,解放军武汉军械士官学校
李雪,长安大学电子与控制工程学院
贺昱曜,长安大学电子与控制工程学院
闫茂德,长安大学电子与控制工程学院
张亚鸣,中南大学信息科学与工程学院
雷小宇,中南大学信息科学与工程学院
杨胜跃,中南大学信息科学与工程学院
樊晓平,中南大学信息科学与工程学院
瞿志华,中南大学信息科学与工程学院
贾占朝,中南大学信息科学与工程学院
庞永杰,哈尔滨工程大学船舶工程学院
唐旭东,哈尔滨工程大学船舶工程学院
刘庆波,北京工业大学机电学院
余跃庆,北京工业大学机电学院
苏丽颖,北京工业大学机电学院
张恒,华东交通大学信息工程学院
刘艳丽,华东交通大学信息工程学院
樊晓平,华东交通大学信息工程学院
瞿志华,华东交通大学信息工程学院
梁永生,深圳信息职业技术学院软件工程系
洪炳熔,深圳信息职业技术学院软件工程系
阮晓钢,北京工业大学电子信息与控制工程学院
任红格,北京工业大学电子信息与控制工程学院
练家乐,广东工业大学自动化学院
潘薇,中南大学信息科学与工程学院
陈白帆,中南大学信息科学与工程学院
余伶俐,中南大学信息科学与工程学院
任孝平,中南大学信息科学与工程学院
卢薇薇,中南大学信息科学与工程学院
张洪宇,国防科学技术大学机电工程与自动化学院自动化所
徐昕,国防科学技术大学机电工程与自动化学院自动化所
张鹏程,国防科学技术大学机电工程与自动化学院自动化所
刘春明,国防科学技术大学机电工程与自动化学院自动化所
宋金泽,国防科学技术大学机电工程与自动化学院自动化所
房芳,东南大学自动化学院复杂工程系统测量与控制教育部重点实验室
马旭东,东南大学自动化学院复杂工程系统测量与控制教育部重点实验室
戴先中,东南大学自动化学院复杂工程系统测量与控制教育部重点实验室
袁湘鹏,中南大学信息科学与工程学院
刘利枚,中南大学信息科学与工程学院
徐海伟,中国海洋大学信息学院电子系
殷波,中国海洋大学信息学院电子系
徐涛,中国海洋大学信息学院电子系
邹磊,中南大学信息科学与工程学院
刘玉芹,沈阳化工学院信息工程学院
曹景兴,沈阳新松机器人有限公司
杨晶东,上海理工大学光电信息与计算机工程学院
杨敬辉,哈尔滨工业大学计算机科学与工程学院
洪炳镕,上海第二工业大学经济管理学院
陈涛,河北工业大学机械工程学院
张明路,河北工业大学机械工程学院
付灵丽,河北工业大学机械工程学院
孙晋,华东交通大学信息工程学院
严乔,华南理工大学电子与信息学院
金连文,华南理工大学电子与信息学院
吴培良,燕山大学信息科学与工程学院
柯文德,茂名学院计算机科学与技术系
蔡则苏,茂名学院计算机科学与技术系
李家兰,茂名学院计算机科学与技术系
苑召国,广东工业大学自动化学院
胡喜玲,鲁东大学信息科学与工程学院
国海涛,鲁东大学信息科学与工程学院
蒲兴成,重庆邮电大学数理学院
张军,重庆邮电大学数理学院
张毅,重庆邮电大学数理学院
王浩,合肥工业大学计算机与信息学院
年士瑞,合肥工业大学计算机与信息学院
方宝富,合肥工业大学计算机与信息学院
王国庆,合肥工业大学计算机与信息学院
韩无盐,合肥工业大学计算机与信息学院
党培,燕山大学信息科学与工程学院
谭云福,燕山大学信息科学与工程学院
申利民,燕山大学信息科学与工程学院
柯文德,广东石油化工学院计算机科学与技术系
蔡则苏,广东石油化工学院计算机科学与技术系
彭志平,广东石油化工学院计算机科学与技术系
钟秋波,广东石油化工学院计算机科学与技术系
朴松昊,广东石油化工学院计算机科学与技术系
张毅,重庆邮电大学智能系统及机器人研究所
赵黎明,重庆邮电大学智能系统及机器人研究所
罗元,重庆邮电大学智能系统及机器人研究所
钟珊,常熟理工学院计算机科学与工程学院
常晋义,常熟理工学院计算机科学与工程学院
刘一松,常熟理工学院计算机科学与工程学院
殷旭东,常熟理工学院计算机科学与工程学院
侯敬巍,吉林大学机械科学与工程学院
赵丁选,吉林大学机械科学与工程学院
巩明德,吉林大学机械科学与工程学院
崔玉鑫,吉林大学机械科学与工程学院
曾健平,湖南大学物理与微电子科学学院
王保同,湖南大学物理与微电子科学学院
谢海情,湖南大学物理与微电子科学学院
姜莹,沈阳工业大学电气工程学院
白保东,沈阳工业大学电气工程学院
王硕玉,沈阳工业大学电气工程学院
郭金玉,沈阳工业大学电气工程学院
朱效洲,国防科学技术大学机电工程与自动化学院
李宇波,国防科学技术大学机电工程与自动化学院
卢惠民,国防科学技术大学机电工程与自动化学院
张辉,国防科学技术大学机电工程与自动化学院
李彩虹,山东理工大学计算机科学与技术学院
李贻斌,山东理工大学计算机科学与技术学院
王凤英,山东理工大学计算机科学与技术学院
赵磊,山东理工大学计算机科学与技术学院
韩震峰,哈尔滨工业大学机器人技术与系统国家重点实验室
刘刚峰,哈尔滨工业大学机器人技术与系统国家重点实验室
赵杰,哈尔滨工业大学机器人技术与系统国家重点实验室
王梅,上海大学机电工程与自动化学院
王叶婷,上海大学机电工程与自动化学院
江济良,上海大学机电工程与自动化学院
张国栋,上海大学机电工程与自动化学院
樊帅权,东南大学复杂工程系统测量与控制教育部重点实验室
周波,东南大学复杂工程系统测量与控制教育部重点实验室
孟正大,东南大学复杂工程系统测量与控制教育部重点实验室
戴先中,东南大学复杂工程系统测量与控制教育部重点实验室
刘国荣,湘潭大学信息工程学院
兰永红,湘潭大学信息工程学院
阎静,太原科技大学计算机科学与技术学院复杂系统与计算智能实验室
曾建潮,太原科技大学计算机科学与技术学院复杂系统与计算智能实验室
张国有,太原科技大学计算机科学与技术学院复杂系统与计算智能实验室
王军红,西南科技大学信息工程学院
江虹,西南科技大学信息工程学院
黄玉清,西南科技大学信息工程学院
伍晓利,西南科技大学信息工程学院
闵伟伟,江南大学物联网工程学院教育部重点实验室
刘国栋,江南大学物联网工程学院教育部重点实验室
莫栋成,江南大学物联网工程学院教育部重点实验室
黎萍,电子科技大学中山学院
高扬,长安大学汽车学院
胡大伟,长安大学汽车学院
王来军,长安大学汽车学院
杨京帅,长安大学汽车学院
李宪华,安徽理工大学机械工程学院
郭永存,安徽理工大学机械工程学院
张军,安徽理工大学机械工程学院
郭帅,安徽理工大学机械工程学院
尹俊明,南京航空航天大学仿生结构与材料防护研究所
李宏凯,南京航空航天大学仿生结构与材料防护研究所
戴振东,南京航空航天大学仿生结构与材料防护研究所
陈珂,广东石油化工学院计算机科学与技术系
王开宇,哈尔滨工程大学自动化学院
夏国清,哈尔滨工程大学自动化学院
吴迪,哈尔滨工程大学自动化学院
邓文红,西南交通大学智能控制开发中心
李龙,西南交通大学智能控制开发中心
蔡洪斌,西南交通大学智能控制开发中心
柏继云,哈尔滨工业大学控制科学与工程系
李士勇,东北农业大学理学院
张瑞海,西南交通大学CADI工程中心
王淑营,四川成焊宝玛焊接装备工程有限公司
应再恩,江南大学机械工程学院
李正洋,江南大学机械工程学院
平雪良,江南大学机械工程学院
蒋毅,江南大学机械工程学院
刘开明,江南大学机械工程学院
弋英民,西安理工大学自动化与信息工程学院
黄莹,西安理工大学自动化与信息工程学院
黄诚,上海理工大学光电信息与计算机工程学院
刘华平,清华大学
沈昱明,清华大学计算机科学与技术系
刘大勇,华东交通大学信息工程学院
朱霞,南京航空航天大学机械结构力学及控制国家重点实验室
陈仁文,南京航空航天大学机械结构力学及控制国家重点实验室
夏桦康,南京航空航天大学机械结构力学及控制国家重点实验室
章飘艳,南京航空航天大学机械结构力学及控制国家重点实验室
李华忠,深圳信息职业技术学院软件学院
梁永生,深圳信息职业技术学院软件学院
但唐仁,深圳信息职业技术学院软件学院
潘桂彬,江南大学物联网工程学院教育部重点实验室
张世龙,江南大学物联网工程学院教育部重点实验室
蒋科辉,湖南女子学院应用数学与智能信息处理研究所
杨慧民,湖南工程学院工程训练中心
樊小平,中南大学信息工程学院
黄亮,中国电子科技集团公司第28研究所
段渭军,中国电子科技集团公司第28研究所
王福豹,中国电子科技集团公司第28研究所
严国强,中国电子科技集团公司第28研究所
马超,中国电子科技集团公司第28研究所
张毅,重庆邮电大学信息无障碍研发中心
程铁凤,重庆邮电大学信息无障碍研发中心
罗元,重庆邮电大学信息无障碍研发中心
傅有力,重庆邮电大学信息无障碍研发中心
王科俊,哈尔滨工程大学自动化学院
杜同春,哈尔滨工程大学自动化学院
董永峰,河北工业大学计算机科学与软件学院
王安娜,河北工业大学计算机科学与软件学院
周艳聪,河北工业大学计算机科学与软件学院
顾军华,河北工业大学计算机科学与软件学院
邓先瑞,唐山师范学院计算机科学系
聂雪媛,中国科学院力学研究所
刘国平,哈尔滨工业大学航空学院
孔庆艳,新疆大学电气工程学院
袁杰,新疆大学电气工程学院
郭俊辉,新疆大学电气工程学院
梁娟,河南工学院计算机科学与技术系
赵开新,河南工学院计算机科学与技术系
陈伟,河南工学院计算机科学与技术系
祝毅鸣,郑州大学西亚斯国际学院
张波,郑州大学西亚斯国际学院
刘莹,郑州大学西亚斯国际学院
王颖,郑州大学西亚斯国际学院
张波,厦门大学软件学院
盛进源,四川大学电气信息学院
刘宜成,四川大学电气信息学院
张欢庆,四川大学电气信息学院
张涛,四川大学电气信息学院
王权,上海大学机电工程与自动化学院
胡越黎,上海市电站自动化技术重点实验室
张贺,上海大学微电子研究与开发中心
周亚丽,北京信息科技大学自动化学院
张奇志,北京信息科技大学自动化学院
陈果,武汉理工大学光纤传感技术与信息处理教育部重点实验室
刘金根,武汉理工大学光纤传感技术与信息处理教育部重点实验室
韩世鹏,武汉理工大学光纤传感技术与信息处理教育部重点实验室
刘军梅,上海理工大学光电信息与计算机工程学院
龚朝晖,上海理工大学光电信息与计算机工程学院
侯运锋,上海理工大学光电信息与计算机工程学院
马飞,中国矿业大学(北京)机电与信息工程学院
贾瑞清,中国矿业大学(北京)机电与信息工程学院
宋涛,中国矿业大学(北京)机电与信息工程学院
牛世琛,中国矿业大学(北京)机电与信息工程学院
曾俊宝,中国科学院沈阳自动化研究所机器人学国家重点实验室
李硕,中国科学院沈阳自动化研究所机器人学国家重点实验室
刘鑫宇,中国科学院沈阳自动化研究所机器人学国家重点实验室
李一平,中国科学院沈阳自动化研究所机器人学国家重点实验室
王晓辉,中国科学院沈阳自动化研究所机器人学国家重点实验室
徐风尧,中南大学机电工程学院
王恒升,高性能复杂制造国家重点实验室
王寻羽,浙江大学计算机科学系
朱淼良,浙江大学计算机科学系
王洪燕,合肥工业大学人工智能研究所
杨敬安,合肥工业大学人工智能研究所
蒋培,合肥工业大学人工智能研究所
王月海,哈尔滨工业大学计算机科学与技术系
洪炳镕,哈尔滨工业大学计算机科学与技术系 哈尔滨150001
郭琦,哈尔滨工业大学计算机科学与工程学院
洪炳熔,哈尔滨工业大学计算机科学与工程学院 哈尔滨150001
施华,上海大学计算机工程与科学学院
李超,上海大学计算机工程与科学学院
王醒策,哈尔滨工程大学计算机科学与技术学院
张汝波,哈尔滨工程大学计算机科学与技术学院 哈尔滨150001
顾国昌,中国科学院沈阳自动化研究所机器人学重点实验室沈阳110015
吴庆祥,福建师范大学实验中心
严闪,福建师范大学实验中心
黄晞,福建师范大学实验中心
陈振荣,福建师范大学实验中心
胡凌云,清华大学计算机科学与技术系智能技术与系统国家重点实验室
孙增圻,清华大学计算机科学与技术系智能技术与系统国家重点实验室 北京100084
孟伟,哈尔滨工业大学计算机科学与技术学院
韩学东,哈尔滨工业大学计算机科学与技术学院
洪炳熔,哈尔滨工业大学计算机科学与技术学院
厉茂海,哈尔滨工业大学计算机科学与技术学院
罗荣华,哈尔滨工业大学计算机科学与技术学院
张世辉,燕山大学信息科学与工程学院
冯亮,燕山大学信息科学与工程学院
李鹏,华中科技大学控制科学与工程系
王敏,华中科技大学控制科学与工程系
邵杰,南京理工大学计算机学院
杨静宇,南京理工大学计算机学院
万鸣华,南京理工大学计算机学院
黄传波,南京理工大学计算机学院
王险峰,哈尔滨工业大学计算机科学与技术学院
钟秋波,哈尔滨工业大学计算机科学与技术学院
蔡云飞,南京理工大学计算机科学与技术学院
唐振民,南京理工大学计算机科学与技术学院
赵春霞,南京理工大学计算机科学与技术学院
王险峰,东北石油大学计算机与信息技术学院
李建平,东北石油大学计算机与信息技术学院
王辉,东北石油大学计算机与信息技术学院
冯翔,华东理工大学信息科学与工程学院
马美怡,华东理工大学信息科学与工程学院
施尹,华东理工大学信息科学与工程学院
虞慧群,华东理工大学信息科学与工程学院
朱淼良,浙江大学人工智能研究所
张新晖,浙江大学人工智能研究所
王寻羽,浙江大学人工智能研究所
唐文彬,浙江大学人工智能研究所
洪炳熔,哈尔滨工业大学计算机科学与工程系 黑龙江哈尔滨150001
朱庆保,南京师范大学计算机科学系 江苏南京210097
刘涛,计算机科学国家重点实验室(中国科学院软件研究所)
王淑灵,计算机科学国家重点实验室(中国科学院软件研究所)
詹乃军,计算机科学国家重点实验室(中国科学院软件研究所)
梁冰,哈尔滨工业大学计算机科学与技术学院
洪炳镕,哈尔滨工业大学计算机科学与技术学院 黑龙江哈尔滨150001
