name,label,author_id,type
原魁,中国科学院自动化研究所高技术创新中心,131,person
刘俊承,中国科学院自动化研究所高技术创新中心,132,person
王璐,中南大学信息科学与工程学院智能所,133,person
崔益安,中南大学信息科学与工程学院智能所 长沙410083,134,person
苏虹,中原工学院计算机系,135,person
蔡自兴,郑州450007,136,person
唐琎,中南大学信息科学与工程学院,137,person
白涛,Department of Electrical & Computer Engineering,138,person
蔡自兴,Dalhousie University,139,person
汤志彦,复旦大学计算机科学与工程系,140,person
冯哲,复旦大学计算机科学与工程系 上海200433,141,person
王卫,中国科学技术大学电子工程于信息科学系,142,person
陈继荣,中国科学技术大学电子工程于信息科学系,143,person
徐璟业,中国科学技术大学电子工程于信息科学系,144,person
蒋治华,中国科学技术大学电子工程于信息科学系,145,person
李晓丽,西安理工大学机械与精密仪器学院,146,person
谢敬,西安理工大学机械与精密仪器学院,147,person
傅卫平,西安理工大学机械与精密仪器学院,148,person
杨静,西安理工大学机械与精密仪器学院,149,person
王卫,中国科学技术大学电子工程与信息科学系,150,person
陈继荣,中国科学技术大学电子工程与信息科学系,151,person
徐璟业,中国科学技术大学电子工程与信息科学系,152,person
史豪斌,西北工业大学计算机学院,153,person
李伟华,西北工业大学计算机学院,154,person
王涤飞,西北工业大学计算机学院,155,person
严建峰,西北工业大学计算机学院,156,person
李枚毅,中南大学信息科学与工程学院,157,person
蔡自兴,中南大学信息科学与工程学院 长沙410083,158,person
王仲民,河北工业大学机械工程学院,159,person
岳宏,天津职业技术师范学院机械工程系 天津300130天津职业技术师范学院机械工程系,160,person
刘继岩,天津300222,161,person
朱皖,中南大学信息科学与工程学院 长沙410083国防科大信息与通信工程博士后流动站湘计算机工作站,162,person
陈玥,长沙410007,163,person
张闻捷,长沙410083,164,person
任燚,中国科学技术大学自动化系,165,person
陈宗海,中国科学技术大学自动化系 合肥230026,166,person
张祺,广东工业大学自动化学院,167,person
杨宜民,华南师范大学计算机学院 广州510090,168,person
陈红英,广州510630,169,person
彭金柱,湖南大学电气与信息工程学院,170,person
王耀南,湖南大学电气与信息工程学院,171,person
孙炜,湖南大学电气与信息工程学院,172,person
张美玉,华南理工大学数学科学院,173,person
黄翰,华南理工大学数学科学院,174,person
郝志峰,华南理工大学数学科学院,175,person
杨晓伟,华南理工大学数学科学院,176,person
王辉,中国科学院自动化研究所,177,person
邹伟,中国科学院自动化研究所,178,person
郑睿,中国科学院自动化研究所,179,person
屈彦呈,哈尔滨工业大学空间控制与惯性技术研究中心,180,person
黄亨俊,哈尔滨工业大学空间控制与惯性技术研究中心,181,person
王常虹,哈尔滨工业大学空间控制与惯性技术研究中心,182,person
周浦城,哈尔滨工业大学计算机科学与工程系,183,person
洪炳镕,哈尔滨工业大学计算机科学与工程系,184,person
郭耸,哈尔滨工业大学计算机科学与工程系,185,person
廖明,解放军理工大学工程兵学院,186,person
刘安心,解放军理工大学工程兵学院,187,person
张金林,解放军理工大学工程兵学院,188,person
芮挺,解放军理工大学工程兵学院,189,person
方虎生,解放军理工大学工程兵学院,190,person
王海峰,清华大学电机系电工新技术研究所,191,person
陆文娟,清华大学电机系电工新技术研究所,192,person
冯川,清华大学电机系电工新技术研究所,193,person
冯延蓬,中国科学技术大学计算机系,194,person
陈小平,中国科学技术大学计算机系 合肥230027,195,person
邢笑笑,清华大学自动化系,196,person
熊举峰,湖南师范大学物理与信息科学学院,197,person
